#time redshift x  y z
6.2160 0.9315 36671.9534 35946.3087 37608.2376 
6.2214 0.9303 36695.2240 35967.8160 37632.4491 
6.2268 0.9291 36718.5752 35989.3499 37656.7544 
6.2321 0.9279 36741.9562 36010.7104 37680.9282 
6.2375 0.9266 36764.8310 36032.3641 37705.1972 
6.2429 0.9254 36788.2429 36053.9490 37729.4126 
6.2483 0.9242 36811.6135 36075.4519 37753.6484 
6.2537 0.9230 36835.1110 36096.8486 37777.9191 
6.2591 0.9218 36857.9727 36118.7543 37802.1044 
6.2644 0.9205 36881.3865 36140.2936 37826.2084 
6.2698 0.9193 36904.7166 36161.8905 37850.4610 
6.2752 0.9181 36928.2447 36182.8817 37874.6732 
6.2806 0.9169 36951.4511 36204.1670 37898.7500 
6.2860 0.9157 36974.7487 36225.6246 37922.8231 
6.2913 0.9145 36998.0753 36246.8366 37947.0495 
6.2967 0.9133 37021.3726 36268.3092 37971.1408 
6.3021 0.9121 37044.5290 36289.6367 37995.2988 
6.3075 0.9109 37067.8050 36310.6605 38019.5882 
6.3129 0.9097 37091.0608 36331.4561 38043.7151 
6.3182 0.9085 37114.1584 36352.3205 38067.9154 
6.3236 0.9073 37136.8999 36373.3214 38092.0951 
6.3290 0.9061 37159.4685 36394.7275 38116.2050 
6.3344 0.9049 37178.7409 36410.0469 38138.7756 
6.3398 0.9037 37201.7065 36431.4920 38162.8275 
6.3451 0.9025 37224.5194 36453.0217 38186.9175 
6.3505 0.9013 37247.4014 36474.7301 38210.9243 
6.3559 0.9001 37270.1418 36496.4258 38234.9780 
6.3613 0.8989 37292.9140 36517.8434 38259.0415 
6.3667 0.8978 37315.6501 36539.2417 38283.2222 
6.3720 0.8966 37338.3070 36561.3513 38307.2968 
6.3774 0.8954 37361.4123 36583.5241 38331.3068 
6.3828 0.8942 37385.0486 36605.9196 38355.4590 
6.3882 0.8930 37408.2212 36627.4768 38379.5779 
6.3936 0.8919 37433.2657 36661.4951 38406.0216 
6.3989 0.8907 37456.3591 36683.3576 38430.2031 
6.4043 0.8895 37479.4213 36705.3296 38454.1784 
6.4097 0.8883 37501.9476 36727.6313 38478.2719 
6.4151 0.8872 37525.0843 36749.4591 38502.3730 
6.4205 0.8860 37548.0966 36771.2574 38526.4192 
6.4258 0.8848 37570.9433 36793.5200 38550.6048 
6.4312 0.8837 37594.4126 36800.6048 38572.9062 
6.4366 0.8825 37617.3175 36822.2735 38597.0640 
6.4420 0.8813 37640.9154 36843.6613 38621.1283 
6.4474 0.8802 37664.1103 36865.3990 38645.1140 
6.4528 0.8790 37687.1050 36887.2701 38669.1755 
6.4581 0.8779 37709.8010 36909.3862 38693.3030 
6.4635 0.8767 37732.7609 36931.3242 38717.2844 
6.4689 0.8755 37755.5407 36953.6303 38741.4026 
6.4743 0.8744 37778.5472 36975.9169 38765.5622 
6.4797 0.8732 37801.6564 36997.9423 38789.6750 
6.4850 0.8721 37824.7040 37019.8072 38813.7429 
6.4904 0.8709 37847.9228 37041.5237 38837.8940 
6.4958 0.8698 37870.9963 37063.3003 38861.8597 
6.5012 0.8686 37893.6668 37085.3689 38885.9506 
6.5066 0.8675 37916.6917 37107.3652 38909.9721 
6.5119 0.8663 37940.0543 37128.8618 38934.1581 
6.5173 0.8652 37962.7190 37151.1683 38958.1838 
6.5227 0.8641 37985.5937 37173.2351 38982.1915 
6.5281 0.8629 38008.5674 37195.1398 39006.3960 
6.5335 0.8618 38032.0802 37216.6740 39030.2886 
6.5388 0.8606 38055.2004 37238.2890 39054.4245 
6.5442 0.8595 38078.3985 37260.2426 39078.5872 
6.5496 0.8584 38101.2801 37282.0376 39102.7648 
6.5550 0.8572 38124.2066 37304.0159 39126.8266 
6.5604 0.8561 38147.3819 37325.9003 39150.7807 
6.5657 0.8550 38170.7337 37347.6185 39174.8199 
6.5711 0.8539 38193.7815 37369.5963 39198.8536 
6.5765 0.8527 38216.9061 37391.5647 39223.0505 
6.5819 0.8516 38239.9866 37413.5687 39247.1224 
6.5873 0.8505 38263.1288 37435.3109 39271.3637 
6.5926 0.8494 38286.3239 37457.2587 39295.4284 
6.5980 0.8482 38309.6662 37478.9629 39319.3909 
6.6034 0.8471 38332.6162 37500.8499 39343.5481 
6.6088 0.8460 38355.9744 37522.6492 39367.5856 
6.6142 0.8449 38381.8392 37556.5553 39393.7551 
6.6195 0.8438 38404.7011 37578.5070 39417.7960 
6.6249 0.8426 38427.2308 37600.7375 39441.8567 
